iter	Passed	Remaining
599	50385	33590
600	50460	33500
601	50539	33413
602	50638	33339
603	50723	33255
604	50798	33166
605	50863	33069
606	50949	32987
607	51037	32905
608	51138	32832
609	51239	32759
610	51317	32672
611	51409	32593
612	51496	32510
613	51600	32439
614	51682	32353
615	51759	32265
616	51855	32189
617	51944	32108
618	52030	32025
619	52102	31933
620	52172	31841
621	52257	31757
622	52326	31664
623	52398	31573
624	52487	31492
625	52578	31412
626	52669	31333
627	52759	31252
628	52854	31175
629	52944	31094
630	53015	31002
631	53083	30909
632	53181	30833
633	53268	30751
634	53357	30669
635	53433	30581
636	53518	30498
637	53598	30411
638	53679	30325
639	53745	30231
640	53826	30146
641	53906	30059
642	53979	29969
643	54073	29891
644	54158	29808
645	54236	29720
646	54315	29634
647	54390	29545
648	54459	29453
649	54547	29371
650	54624	29284
651	54714	29203
652	54817	29129
653	54903	29046
654	54974	28956
655	55048	28866
656	55138	28786
657	55210	28695
658	55294	28611
659	55369	28523
660	55433	28429
661	55507	28340
662	55601	28262
663	55682	28176
664	55756	28087
665	55821	27994
666	55900	27908
667	55975	27820
668	56064	27738
669	56136	27649
670	56208	27559
671	56285	27472
672	56370	27389
673	56456	27306
674	56519	27212
675	56588	27122
676	56670	27037
677	56741	26948
678	56822	26862
679	56900	26776
680	56991	26696
681	57091	26620
682	57207	26551
683	57295	26469
684	57364	26379
685	57458	26300
686	57537	26214
687	57619	26129
688	57698	26044
689	57773	25956
690	57865	25875
691	57942	25789
692	58014	25700
693	58106	25620
694	58206	25543
695	58292	25461
696	58375	25376
697	58444	25286
698	58507	25194
699	58577	25104
700	58655	25018
701	58735	24933
702	58816	24848
703	58907	24767
704	58980	24679
705	59057	24593
706	59134	24507
707	59208	24419
708	59297	24338
709	59380	24253
710	59443	24161
711	59537	24082
712	59613	23995
713	59713	23918
714	59809	23840
715	59905	23761
716	59995	23680
717	60093	23602
718	60209	23530
719	60298	23449
720	60365	23359
721	60438	23271
722	60513	23184
723	60584	23095
724	60667	23011
725	60753	22928
726	60842	22847
727	60939	22768
728	61112	22718
729	61206	22637
730	61309	22561
731	61416	22485
732	61524	22410
733	61628	22333
734	61708	22248
735	61804	22169
736	61903	22090
737	61982	22004
738	62071	21922
739	62151	21837
740	62241	21755
741	62327	21671
742	62401	21584
743	62490	21502
744	62611	21430
745	62692	21345
746	62770	21259
747	62871	21181
748	62957	21097
749	63025	21008
750	63113	20925
751	63201	20843
752	63305	20765
753	63392	20682
754	63491	20603
755	63607	20529
756	63690	20444
757	63767	20358
758	63910	20292
759	64008	20213
760	64093	20129
761	64176	20044
762	64251	19957
763	64322	19869
764	64412	19786
765	64487	19699
766	64585	19619
767	64667	19534
768	64742	19448
769	64832	19365
770	64900	19276
771	64967	19187
772	65053	19103
773	65152	19023
774	65230	18937
775	65299	18849
776	65388	18766
777	65472	18682
778	65545	18594
779	65641	18514
780	65734	18432
781	65814	18347
782	65899	18263
783	65993	18181
784	66075	18097
785	66180	18018
786	66276	17937
787	66359	17852
788	66452	17771
789	66531	17685
790	66595	17595
791	66668	17508
792	66756	17425
793	66850	17344
794	66924	17257
795	66999	17170
796	67074	17084
797	67175	17004
798	67279	16925
799	67360	16840
800	67444	16755
801	67555	16678
802	67631	16592
803	67720	16508
804	67800	16423
805	67882	16338
806	67974	16256
807	68062	16173
808	68155	16090
809	68238	16006
810	68319	15921
811	68396	15835
812	68476	15750
813	68561	15666
814	68656	15584
815	68749	15502
816	68834	15418
817	68922	15334
818	68994	15247
819	69097	15167
820	69217	15091
821	69359	15019
822	69495	14946
823	69598	14865
824	69702	14785
825	69821	14708
826	69923	14627
827	70050	14551
828	70166	14473
829	70278	14394
830	70379	14313
831	70503	14236
832	70594	14152
833	70679	14068
834	70795	13989
835	70929	13914
836	71023	13831
837	71152	13754
838	71261	13674
839	71353	13591
840	71442	13507
841	71533	13423
842	71625	13339
843	71705	13253
844	71826	13175
845	71898	13087
846	71983	13002
847	72079	12919
848	72167	12835
849	72238	12747
850	72322	12662
851	72406	12577
852	72491	12492
853	72563	12405
854	72654	12321
855	72747	12237
856	72822	12151
857	72883	12062
858	72953	11974
859	73045	11891
860	73136	11807
861	73213	11720
862	73293	11635
863	73398	11553
864	73468	11466
865	73597	11387
866	73697	11305
867	73784	11220
868	73876	11136
869	73958	11051
870	74041	10966
871	74136	10882
872	74240	10800
873	74337	10716
874	74415	10630
875	74486	10543
876	74572	10458
877	74649	10372
878	74726	10286
879	74810	10201
880	74906	10117
881	74999	10033
882	75089	9949
883	75179	9865
884	75266	9780
885	75340	9693
886	75426	9609
887	75523	9525
888	75603	9439
889	75685	9354
890	75797	9272
891	75895	9189
892	76002	9106
893	76108	9024
894	76203	8940
895	76300	8856
896	76403	8773
897	76494	8688
898	76600	8605
899	76729	8525
900	76809	8439
901	76883	8353
902	76977	8268
903	77051	8182
904	77182	8102
905	77276	8017
906	77382	7934
907	77467	7849
908	77565	7765
909	77683	7682
910	77783	7598
911	77871	7513
912	77991	7431
913	78083	7347
914	78180	7262
915	78265	7177
916	78356	7092
917	78442	7006
918	78536	6922
919	78604	6835
920	78675	6748
921	78771	6664
922	78856	6578
923	78936	6492
924	79031	6407
925	79146	6324
926	79255	6241
927	79368	6157
928	79450	6072
929	79526	5985
930	79608	5900
931	79705	5815
932	79795	5730
933	79876	5644
934	79977	5559
935	80083	5475
936	80174	5390
937	80292	5307
938	80365	5220
939	80454	5135
940	80540	5049
941	80620	4963
942	80716	4878
943	80786	4792
944	80863	4706
945	80951	4620
946	81042	4535
947	81168	4452
948	81256	4366
949	81370	4282
950	81453	4196
951	81540	4111
952	81615	4025
953	81702	3939
954	81805	3854
955	81899	3769
956	81981	3683
957	82082	3598
958	82167	3512
959	82293	3428
960	82386	3343
961	82474	3257
962	82570	3172
963	82662	3086
964	82743	3001
965	82818	2914
966	82903	2829
967	82994	2743
968	83071	2657
969	83156	2571
970	83244	2486
971	83330	2400
972	83414	2314
973	83497	2228
974	83568	2142
975	83656	2057
976	83748	1971
977	83837	1885
978	83926	1800
979	84016	1714
980	84123	1629
981	84217	1543
982	84296	1457
983	84397	1372
984	84491	1286
985	84589	1201
986	84681	1115
987	84778	1029
988	84865	943
989	84950	858
990	85051	772
991	85152	686
992	85238	600
993	85319	515
994	85411	429
995	85482	343
996	85580	257
997	85651	171
998	85743	85
999	85829	0
