iter	Passed	Remaining
568	44517	33720
569	44587	33635
570	44752	33622
571	44836	33549
572	44933	33484
573	45022	33414
574	45112	33344
575	45181	33258
576	45239	33165
577	45338	33101
578	45430	33033
579	45499	32947
580	45589	32877
581	45657	32791
582	45730	32709
583	45807	32630
584	45887	32552
585	45976	32481
586	46055	32403
587	46142	32331
588	46230	32259
589	46308	32180
590	46379	32096
591	46446	32010
592	46526	31933
593	46605	31854
594	46673	31769
595	46782	31711
596	46847	31623
597	46930	31548
598	47004	31467
599	47064	31376
600	47152	31304
601	47229	31224
602	47308	31146
603	47390	31070
604	47477	30997
605	47542	30910
606	47630	30838
607	47693	30749
608	47777	30675
609	47849	30592
610	47902	30497
611	48007	30436
612	48080	30354
613	48148	30269
614	48210	30180
615	48268	30089
616	48336	30004
617	48409	29922
618	48464	29830
619	48556	29760
620	48651	29692
621	48745	29623
622	48812	29538
623	48874	29449
624	48939	29363
625	49042	29299
626	49136	29230
627	49213	29151
628	49316	29087
629	49391	29007
630	49463	28925
631	49534	28842
632	49581	28746
633	49653	28664
634	49743	28592
635	49810	28508
636	49873	28421
637	49983	28360
638	50055	28278
639	50114	28189
640	50206	28118
641	50290	28043
642	50401	27983
643	50533	27934
644	50613	27856
645	50703	27785
646	50817	27726
647	50912	27656
648	51008	27587
649	51084	27507
650	51149	27421
651	51261	27360
652	51350	27287
653	51436	27212
654	51539	27146
655	51633	27076
656	51725	27004
657	51813	26930
658	51861	26835
659	51952	26763
660	52018	26678
661	52117	26609
662	52188	26527
663	52266	26448
664	52359	26376
665	52446	26301
666	52521	26221
667	52593	26139
668	52675	26062
669	52755	25984
670	52838	25907
671	52909	25825
672	52984	25744
673	53062	25665
674	53146	25589
675	53250	25522
676	53342	25449
677	53398	25360
678	53484	25284
679	53555	25202
680	53621	25117
681	53712	25044
682	53802	24971
683	53893	24898
684	53984	24825
685	54059	24744
686	54136	24664
687	54217	24586
688	54274	24498
689	54350	24418
690	54427	24338
691	54516	24264
692	54607	24191
693	54674	24107
694	54747	24025
695	54830	23948
696	54938	23883
697	55027	23808
698	55128	23739
699	55192	23654
700	55256	23568
701	55337	23491
702	55421	23414
703	55504	23337
704	55607	23268
705	55671	23183
706	55744	23101
707	55835	23028
708	55895	22941
709	55971	22861
710	56066	22789
711	56126	22702
712	56203	22623
713	56267	22538
714	56357	22464
715	56429	22382
716	56533	22313
717	56613	22235
718	56678	22151
719	56747	22068
720	56828	21990
721	56918	21916
722	56987	21833
723	57056	21751
724	57145	21675
725	57217	21594
726	57287	21512
727	57361	21431
728	57423	21346
729	57487	21262
730	57565	21183
731	57666	21112
732	57751	21036
733	57836	20959
734	57946	20892
735	58015	20809
736	58112	20737
737	58206	20664
738	58285	20585
739	58352	20502
740	58423	20420
741	58497	20340
742	58566	20257
743	58640	20177
744	58735	20103
745	58837	20033
746	58919	19955
747	58991	19873
748	59061	19792
749	59148	19716
750	59238	19641
751	59307	19558
752	59406	19486
753	59496	19411
754	59586	19335
755	59646	19251
756	59731	19173
757	59798	19091
758	59880	19013
759	59958	18934
760	60037	18855
761	60122	18778
762	60183	18694
763	60253	18612
764	60338	18535
765	60413	18455
766	60482	18373
767	60583	18301
768	60650	18218
769	60713	18135
770	60783	18053
771	60846	17970
772	60930	17892
773	61008	17813
774	61083	17733
775	61153	17652
776	61259	17581
777	61335	17501
778	61398	17418
779	61443	17330
780	61536	17255
781	61581	17167
782	61661	17088
783	61729	17007
784	61814	16930
785	61886	16849
786	61953	16767
787	62009	16682
788	62069	16599
789	62156	16522
790	62253	16448
791	62324	16368
792	62391	16286
793	62455	16203
794	62546	16128
795	62606	16044
796	62671	15962
797	62734	15880
798	62808	15800
799	62877	15719
800	62951	15639
801	63006	15555
802	63094	15478
803	63171	15400
804	63234	15317
805	63306	15237
806	63379	15157
807	63440	15075
808	63493	14990
809	63554	14907
810	63611	14824
811	63721	14753
812	63807	14676
813	63935	14609
814	64040	14536
815	64105	14455
816	64198	14379
817	64259	14297
818	64327	14216
819	64415	14140
820	64517	14066
821	64582	13985
822	64653	13904
823	64736	13827
824	64842	13754
825	64920	13675
826	65025	13602
827	65093	13521
828	65184	13445
829	65252	13364
830	65360	13292
831	65460	13218
832	65587	13149
833	65690	13075
834	65772	12996
835	65848	12917
836	65921	12837
837	65973	12753
838	66069	12678
839	66169	12603
840	66216	12518
841	66259	12433
842	66333	12354
843	66405	12274
844	66487	12195
845	66559	12116
846	66639	12037
847	66700	11955
848	66782	11877
849	66857	11798
850	66933	11719
851	67009	11640
852	67105	11564
853	67191	11487
854	67266	11407
855	67348	11329
856	67418	11249
857	67483	11168
858	67573	11091
859	67681	11017
860	67766	10940
861	67837	10860
862	67911	10780
863	67980	10700
864	68044	10619
865	68121	10540
866	68227	10466
867	68311	10388
868	68380	10308
869	68473	10231
870	68543	10151
871	68608	10070
872	68703	9994
873	68804	9919
874	68887	9841
875	68964	9762
876	69050	9684
877	69141	9607
878	69233	9530
879	69323	9453
880	69385	9372
881	69467	9293
882	69556	9216
883	69619	9135
884	69705	9057
885	69782	8978
886	69856	8899
887	69921	8818
888	70002	8740
889	70073	8660
890	70144	8581
891	70219	8501
892	70277	8420
893	70360	8342
894	70425	8262
895	70496	8182
896	70571	8103
897	70631	8022
898	70696	7942
899	70777	7864
900	70848	7784
901	70910	7704
902	70971	7623
903	71033	7543
904	71099	7463
905	71155	7382
906	71253	7306
907	71333	7227
908	71413	7149
909	71478	7069
910	71557	6990
911	71633	6911
912	71703	6832
913	71829	6758
914	71904	6679
915	71968	6599
916	72033	6519
917	72100	6440
918	72187	6362
919	72270	6284
920	72357	6206
921	72433	6127
922	72484	6046
923	72565	5968
924	72626	5888
925	72703	5809
926	72751	5729
927	72850	5652
928	72921	5573
929	73006	5495
930	73099	5417
931	73182	5339
932	73260	5260
933	73348	5183
934	73428	5104
935	73503	5025
936	73604	4948
937	73677	4869
938	73761	4791
939	73825	4712
940	73911	4634
941	73974	4554
942	74052	4476
943	74168	4399
944	74238	4320
945	74319	4242
946	74436	4165
947	74525	4087
948	74615	4009
949	74679	3930
950	74755	3851
951	74846	3773
952	74945	3696
953	75037	3618
954	75102	3538
955	75177	3460
956	75253	3381
957	75330	3302
958	75401	3223
959	75481	3145
960	75559	3066
961	75646	2988
962	75699	2908
963	75787	2830
964	75878	2752
965	75977	2674
966	76088	2596
967	76173	2518
968	76250	2439
969	76329	2360
970	76401	2281
971	76486	2203
972	76600	2125
973	76670	2046
974	76744	1967
975	76837	1889
976	76910	1810
977	77012	1732
978	77090	1653
979	77159	1574
980	77230	1495
981	77301	1416
982	77398	1338
983	77515	1260
984	77570	1181
985	77651	1102
986	77729	1023
987	77824	945
988	77883	866
989	77974	787
990	78054	708
991	78123	630
992	78210	551
993	78310	472
994	78395	393
995	78476	315
996	78554	236
997	78623	157
998	78719	78
999	78791	0
